keyword,score,category
value/Alpha,4.025202013,
끔/Verb,4.018401988,
좋아서/Adjective,4.009728615,가격/청결/위치/교통/부대시설/서비스/객실/조망
awesome/Alpha,3.987821865,
편했어요/Adjective,3.982050526,객실
傑出/Foreign,3.976442437,
굿/Noun,3.958990791,가격/청결/위치/교통/부대시설/서비스/객실/조망
친절하세요/Adjective,3.947512568,서비스
번째/Suffix,3.943321564,
좋/Adjective,3.938723647,가격/청결/위치/교통/부대시설/서비스/객실/조망
왔어요/Verb,3.916892997,
짱/Suffix,3.916367824,가격/청결/위치/교통/부대시설/서비스/객실/조망
들었어요/Verb,3.902997239,
깔끔했습니다/Adjective,3.865943331,청결/객실
좋아/Adjective,3.845624814,가격/청결/위치/교통/부대시설/서비스/객실/조망
친절하셨어요/Adjective,3.833806016,서비스
단점/Noun,3.832350244,
가까워요/Adjective,3.830583167,위치/교통
fantastic/Alpha,3.819514497,
고층/Noun,3.79472871,객실/조망
친절해요/Adjective,3.743347363,서비스
친절한/Adjective,3.728697723,서비스
괜찮았음/Adjective,3.727598613,가격/청결/위치/교통/부대시설/서비스/객실/조망
되긴/Verb,3.719793003,
highly/Alpha,3.717790198,
맥주/Noun,3.709180415,부대시설
힐링/Noun,3.702824963,객실/조망
작/Noun,3.690581768,
없이/Adverb,3.68902627,
아직/Adverb,3.674798401,
친절히/Adjective,3.673585508,서비스
가성/Noun,3.667756905,가격
!!/Punctuation,3.664679205,
메뉴/Noun,3.664019643,부대시설
되었지만/Verb,3.660309412,
바로/Noun,3.655501234,
완벽/Noun,3.652729512,가격/청결/위치/교통/부대시설/서비스/객실/조망
잤어요/Verb,3.641950318,
좋구/Adjective,3.638324295,가격/청결/위치/교통/부대시설/서비스/객실/조망
とてもすばらしい/Foreign,3.631593381,
beautiful/Alpha,3.611217885,
청결하고/Adjective,3.611027282,청결/객실
이었는데/Verb,3.60605383,
세심/Noun,3.600278974,서비스
이었어요/Verb,3.599422505,
괜찮았어요/Adjective,3.582910586,가격/청결/위치/교통/부대시설/서비스/객실/조망
그것/Noun,3.577432158,
친절했어요/Adjective,3.570636125,서비스
주시/Noun,3.569874004,
싶어요/Verb,3.567795973,
깨끗해요/Adjective,3.567452661,청결/객실
~^^/Punctuation,3.56657477,
좋았/Adjective,3.555913201,가격/청결/위치/교통/부대시설/서비스/객실/조망
친절했고/Adjective,3.550306233,서비스
예술/Noun,3.531401029,조망
아깝지/Adjective,3.51775575,
好極了/Foreign,3.511799379,
?棒/Foreign,3.503499721,
pleasant/Alpha,3.494676289,
평일/Noun,3.490427429,기타
휴식/Noun,3.487703283,기타
토스카나/Noun,3.484616126,
들어요/Verb,3.48343345,
좋아용/Adjective,3.477184512,가격/청결/위치/교통/부대시설/서비스/객실/조망
훌륭해요/Adjective,3.462914896,가격/청결/위치/교통/부대시설/서비스/객실/조망
love/Alpha,3.449440218,
맛있음/Adjective,3.449029674,부대시설
짱/Noun,3.431606551,가격/청결/위치/교통/부대시설/서비스/객실/조망
무조건/Noun,3.430362851,
비싸지만/Adjective,3.428173814,가격
만족했어요/Adjective,3.426292162,가격/청결/위치/교통/부대시설/서비스/객실/조망
깔끔하게/Adjective,3.414904607,청결/객실
깔끔해서/Adjective,3.374427484,청결/객실
푹/Noun,3.367604677,객실
깔끔하네요/Adjective,3.351779648,청결/객실
심/Noun,3.348593184,
이벤트/Noun,3.346745362,기타
즐겁게/Adjective,3.338701911,기타
친절하고/Adjective,3.332225154,서비스
아쉽네요/Adjective,3.307007799,가격/청결/위치/교통/부대시설/서비스/객실/조망
파크/Noun,3.303317325,위치
여긴/Verb,3.299022241,
편안하고/Adjective,3.289169081,위치/교통/객실
편해요/Adjective,3.288297666,위치/교통/객실
해주시고/Verb,3.287284963,
만족하고/Adjective,3.284278862,가격/청결/위치/교통/부대시설/서비스/객실/조망
즐길/Verb,3.266296966,
excellent/Alpha,3.264395149,
합리/Noun,3.261741511,가격
친절해서/Adjective,3.255322665,서비스
맛있어요/Adjective,3.222513657,부대시설
괜찮음/Adjective,3.221278378,가격/청결/위치/교통/부대시설/서비스/객실/조망
분/Suffix,3.21891657,
해주셨어요/Verb,3.213752222,
조아/Adverb,3.196089653,
편하고/Adjective,3.185287658,위치/교통/객실
들었습니다/Verb,3.181483812,
깔끔했고/Adjective,3.153785864,청결/객실
near/Alpha,3.147620601,
편해서/Adjective,3.144488202,위치/교통/객실
탑/Noun,3.134364117,
있습니다/Adjective,3.124889564,
빼고는/Verb,3.121933076,
무엇/Noun,3.11889942,
♡/Foreign,3.1165261,
군산/Noun,3.110678886,
먹거리/Noun,3.102636535,기타
추억/Noun,3.087982153,기타
super/Alpha,3.077550727,
아울렛/Noun,3.076018106,
만족스런/Adjective,3.074573537,가격/청결/위치/교통/부대시설/서비스/객실/조망
해서/Verb,3.063456968,
아쉬운건/Adjective,3.059435921,
신혼여행/Noun,3.053971686,기타
적극/Noun,3.046550145,
와서/Verb,3.045694135,
아들/Noun,3.045631,
싼값/Noun,3.044218454,가격
있었지만/Adjective,3.043966028,
에도/Josa,3.035193313,
worth/Alpha,3.026918492,
cp/Alpha,3.016047862,
가능한/Adjective,3.013573083,
엘/Noun,3.006368475,
충분히/Adjective,3.005667287,
럭셔리/Noun,3.005186014,부대시설/객실
쵝오/Noun,2.99974253,가격/청결/위치/교통/부대시설/서비스/객실/조망
나무랄데/Verb,2.999530307,
좋게/Adjective,2.996106524,기타
탁월한/Adjective,2.993623229,기타
아쉬웠지만/Adjective,2.986107801,가격/청결/위치/교통/부대시설/서비스/객실/조망
friendly/Alpha,2.983120096,
만족도/Noun,2.980581833,가격/청결/위치/교통/부대시설/서비스/객실/조망
께서/Josa,2.97892608,
깨끗하긴하지만/Adjective,2.977255476,청결/객실
편안했어요/Adjective,2.967142888,위치/교통/객실
편했습니다/Adjective,2.964691022,위치/교통/객실
깨끗했지만/Adjective,2.956346906,청결/객실
시키지/Verb,2.95545785,
니당/Verb,2.952613855,
편안했습니다/Adjective,2.951079378,위치/교통/객실
고풍/Noun,2.946291127,객실
예정/Noun,2.937124941,
더욱/Noun,2.93493668,
따/Verb,2.929249705,
새/Modifier,2.927278565,
과/Noun,2.924851417,
시키지는/Verb,2.919232853,
좋았음/Adjective,2.91216388,가격/청결/위치/교통/부대시설/서비스/객실/조망
??的/Foreign,2.902231986,
있어서/Adjective,2.90118645,
짱짱/Noun,2.89898252,가격/청결/위치/교통/부대시설/서비스/객실/조망
이었지만/Verb,2.888898316,
모든/Noun,2.879837328,
만족함/Adjective,2.878791828,가격/청결/위치/교통/부대시설/서비스/객실/조망
많지/Adjective,2.875478975,
훌륭했습니다/Adjective,2.864975093,가격/청결/위치/교통/부대시설/서비스/객실/조망
깡패/Noun,2.861106648,가격/조망
좋겠습니다/Adjective,2.855643875,
좋아하는/Adjective,2.836801614,
new/Alpha,2.835460648,
괜찮았고/Adjective,2.832204346,가격/청결/위치/교통/부대시설/서비스/객실/조망
프로모션/Noun,2.818128038,가격
되어있어서/Verb,2.814611579,
갑니다/Verb,2.809434713,
오고싶은/Verb,2.805196437,기타
울/Modifier,2.800877751,
날씨/Noun,2.800569478,
환상/Noun,2.795712092,가격/청결/위치/교통/부대시설/서비스/객실/조망
씩/Suffix,2.794463593,
우수/Noun,2.786398623,가격/청결/위치/교통/부대시설/서비스/객실/조망
조음/Noun,2.785656455,가격/청결/위치/교통/부대시설/서비스/객실/조망
괜찮습니다/Adjective,2.78184455,가격/청결/위치/교통/부대시설/서비스/객실/조망
특히/Adverb,2.778960442,
용/Noun,2.77680563,
가치/Noun,2.768992554,
아름다운/Adjective,2.767202217,객실/조망
넓은/Adjective,2.766193556,부대시설/객실
깨끗하게/Adjective,2.765397179,청결/객실
울산/Noun,2.757950391,
주셔서/Verb,2.755104175,
좋을것/Adjective,2.752077172,가격/청결/위치/교통/부대시설/서비스/객실/조망
번창/Noun,2.745562681,기타
여서/Josa,2.738341175,
하시는/Verb,2.737961968,
된다면/Verb,2.733541551,
굿굿굿굿굿/Noun,2.721885512,
굿굿굿/Noun,2.719279553,
:)/Punctuation,2.715499655,
세월/Noun,2.714389165,
만점/Noun,2.712781231,가격/청결/위치/교통/부대시설/서비스/객실/조망
좀/Noun,2.707820419,
없죠/Adjective,2.701313849,
제격/Noun,2.7007093,
마약/Noun,2.700251711,
흠잡을/Adjective,2.699585658,
였지만/Verb,2.699069023,
best/Alpha,2.693883954,
한국/Noun,2.693655657,
놀고/Verb,2.682799854,
느끼지/Verb,2.680886101,
도심/Noun,2.679703549,위치/교통
불편함이/Adjective,2.674738851,
끝내줍니다/Adjective,2.673435474,
듭니/Noun,2.670400879,
끝판/Noun,2.667828697,
편리함/Adjective,2.664980169,위치/교통/부대시설
가장/Noun,2.661888694,
크고/Verb,2.66085223,객실
업그레이드/Noun,2.656909802,객실
좋은데/Adjective,2.643632436,가격/청결/위치/교통/부대시설/서비스/객실/조망
biff/Alpha,2.639992525,
친철/Noun,2.638327541,서비스
훌륭하고/Adjective,2.634366831,가격/청결/위치/교통/부대시설/서비스/객실/조망
청결함/Adjective,2.629217975,청결/객실
있었으면/Adjective,2.626018036,
매번/Noun,2.613798494,
좋음/Adjective,2.611363465,가격/청결/위치/교통/부대시설/서비스/객실/조망
넓음/Adjective,2.607859131,객실
역류/Noun,2.606406009,객실
앤/Noun,2.603208164,
24/Number,2.599368903,서비스
친절하게/Adjective,2.594862021,서비스
엑/Exclamation,2.594199087,
만족스러웠으나/Adjective,2.594026303,가격/청결/위치/교통/부대시설/서비스/객실/조망
다운/Noun,2.591640008,
구/Noun,2.587161952,
없었습니다/Adjective,2.58542296,
머물다/Verb,2.583967584,
이긴/Verb,2.578623436,
계획/Noun,2.577984183,
놀다/Verb,2.573330349,
in/Alpha,2.569821698,
all/Alpha,2.569559708,
빠르게/Adjective,2.560647863,서비스
맛/Noun,2.55782276,
같은데/Adjective,2.557724779,
크/Verb,2.548648434,객실
지리/Noun,2.547792259,위치/교통
넓어요/Adjective,2.546784509,객실
분위기/Noun,2.543721961,객실
편안합니다/Adjective,2.540346879,위치/교통/객실
되어있어요/Verb,2.539888487,
좋앗어요/Adjective,2.53865182,가격/청결/위치/교통/부대시설/서비스/객실/조망
좋았어여/Adjective,2.538290933,가격/청결/위치/교통/부대시설/서비스/객실/조망
프로/Noun,2.532285571,서비스
친절함에/Adjective,2.525002501,서비스
쉬다가/Verb,2.511646571,
outstanding/Alpha,2.509155143,
великолепно/Foreign,2.507303173,
잘이/Verb,2.501671783,
modern/Alpha,2.501260601,
big/Alpha,2.50125652,
wonderful/Alpha,2.50068423,
아늑한/Adjective,2.500301957,객실
만족했으나/Adjective,2.496609059,가격/청결/위치/교통/부대시설/서비스/객실/조망
친절하셔서/Adjective,2.494655093,서비스
뛰어난/Adjective,2.494555787,부대시설/서비스/객실
처럼/Josa,2.490814564,
보냈습니다/Verb,2.489973097,
유리/Noun,2.488908435,
요/Modifier,2.488718733,
~!/Punctuation,2.483799174,
ㅎㅎㅎ/KoreanParticle,2.482306305,
close/Alpha,2.477785258,
써서/Verb,2.474017747,
좋앗음/Adjective,2.472930373,가격/청결/위치/교통/부대시설/서비스/객실/조망
loved/Alpha,2.471062747,
다행히/Adjective,2.468869197,
오세요/Verb,2.466392892,
만해/Noun,2.465512183,
캉스/Noun,2.462807168,기타
최신/Noun,2.461996838,부대시설/객실
깨끗했고/Adjective,2.459527438,청결/객실
이라/Josa,2.458282044,
조아용/Adjective,2.455739031,가격/청결/위치/교통/부대시설/서비스/객실/조망
?好/Foreign,2.455420327,
완벽하지/Adjective,2.447209669,가격/청결/위치/교통/부대시설/서비스/객실/조망
했어요/Verb,2.443207495,
쉬었습니다/Verb,2.439374578,기타
높은/Adjective,2.4392202,객실/조망
보이/Noun,2.43854941,
인사동/Noun,2.432545082,위치
꼭/Noun,2.431420959,
깔끔한데/Adjective,2.428252712,청결/객실
주셨습니다/Verb,2.425284396,
맛있고/Adjective,2.423556719,부대시설
오픈/Noun,2.423505091,기타
굉장히/Adjective,2.417422522,
만족하였습니다/Adjective,2.408908283,가격/청결/위치/교통/부대시설/서비스/객실/조망
아난/Noun,2.404554137,
있음/Adjective,2.401494487,
쉬었어요/Verb,2.399916328,
젤/Noun,2.398546669,
cozy/Alpha,2.397031024,
속초/Noun,2.396963077,위치
40/Number,2.396092634,
예뻐요/Adjective,2.392380921,부대시설/객실/조망
괜히/Adverb,2.38901234,
아주/Noun,2.388314614,
뷔페/Noun,2.385676244,부대시설
짱/Modifier,2.385396165,가격/청결/위치/교통/부대시설/서비스/객실/조망
풀/Noun,2.382515489,
송도/Noun,2.38173405,위치
이니/Josa,2.381150965,
여태/Noun,2.379951828,
좋겠음/Adjective,2.377099099,가격/청결/위치/교통/부대시설/서비스/객실/조망
????????/Foreign,2.376578648,
나위/Noun,2.374373799,
용이/Noun,2.373317762,
제주시/Noun,2.372683866,
ㅛ/KoreanParticle,2.366588063,
인접/Noun,2.365225377,
쯤/Suffix,2.363142686,
깨끗이/Adverb,2.362791038,청결
가도/Noun,2.361220068,
해서는/Verb,2.353658187,
최고다/Noun,2.349610717,가격/청결/위치/교통/부대시설/서비스/객실/조망
긴/Verb,2.343833169,
쫌/Noun,2.338861904,
reasonable/Alpha,2.338691045,
벚꽃/Noun,2.338358432,위치/조망
always/Alpha,2.338223158,
가끔/Noun,2.335735865,
명/Noun,2.334648545,
항낭/Noun,2.334444472,
좋았구요/Adjective,2.333548251,가격/청결/위치/교통/부대시설/서비스/객실/조망
~/Punctuation,2.330618346,
둘/Noun,2.328940944,
만의/Josa,2.32243472,
my/Alpha,2.320224287,
입구/Noun,2.320174029,부대시설
느껴지는/Verb,2.314986874,
점/Noun,2.305953256,
패밀리/Noun,2.304677352,
봤는데/Verb,2.304127799,
아쉽지만/Adjective,2.298746385,
맛있는/Adjective,2.298495989,부대시설
청결한/Adjective,2.298073464,청결/객실
일회용/Noun,2.292995735,
이라서/Josa,2.292951016,
사실/Noun,2.285352864,
had/Alpha,2.281578058,
불편함은/Adjective,2.279672118,위치/교통/부대시설/서비스/객실
했지만/Verb,2.273814104,
동대문/Noun,2.272896634,위치
7/Number,2.271073192,
absolutely/Alpha,2.270607555,
될/Verb,2.27013667,
편히/Adjective,2.266373906,위치/교통/부대시설/서비스/객실
완벽함/Adjective,2.266322415,가격/청결/위치/교통/부대시설/서비스/객실/조망
을지로/Noun,2.26579001,위치
좋아여/Adjective,2.265120225,
만족하는/Adjective,2.263369101,가격/청결/위치/교통/부대시설/서비스/객실/조망
조/Noun,2.259906549,
한눈/Noun,2.259299365,
convenience/Alpha,2.25715896,
만족했지만/Adjective,2.24833745,가격/청결/위치/교통/부대시설/서비스/객실/조망
오류로/Noun,2.247301414,
단/Noun,2.244867637,
넓어서/Adjective,2.244814134,부대시설/객실
인생/Noun,2.244367392,
세련된/Adjective,2.242081179,부대시설/객실
편한/Adjective,2.240220321,
만족합니당/Adjective,2.23957673,가격/청결/위치/교통/부대시설/서비스/객실/조망
장소/Noun,2.237118114,위치/교통
뚜벅/Noun,2.232663136,위치/교통
봐서/Verb,2.231339562,
쾌적하게/Adjective,2.231329382,청결/객실
무조/Noun,2.230951938,
너무나/Adverb,2.229108425,
이룰/Verb,2.225233687,
한가지/Noun,2.21788485,
지내다/Verb,2.208909162,
개월/Noun,2.204127135,
?????/Punctuation,2.203366782,
100/Number,2.20239485,
地點方便/Foreign,2.201627858,
luxury/Alpha,2.198832204,
왕/Suffix,2.19789482,기타
번가/Noun,2.196843958,
였다/Verb,2.195188514,
구/Modifier,2.194920186,
묵었는데/Verb,2.188507032,
편리했습니다/Adjective,2.187561362,위치/교통/부대시설
호캉스/Noun,2.186787682,기타
잡/Noun,2.186314221,
많음/Adjective,2.185541663,
거슬림/Verb,2.185181185,
아늑하고/Adjective,2.1777077,객실
더할/Adjective,2.176257061,
인근/Noun,2.175044128,위치/교통
해/Verb,2.173407229,
확실히/Adjective,2.169847042,
갑니당/Verb,2.168682592,
방도/Noun,2.166903306,
친절합니다/Adjective,2.164664449,서비스
웰컴/Noun,2.160833522,서비스
우수합니다/Adjective,2.156864937,청결/위치/교통/부대시설/서비스/객실/조망
만족스러웠는데/Adjective,2.15452974,가격/청결/위치/교통/부대시설/서비스/객실/조망
청결해요/Adjective,2.153765385,청결/객실
있으며/Adjective,2.151473187,
의향/Noun,2.147793809,
의/Noun,2.147117402,
광안대교/Noun,2.147004345,위치/조망
최근/Noun,2.146619854,
만족스러웠던/Adjective,2.146396477,가격/청결/위치/교통/부대시설/서비스/객실/조망
파티/Noun,2.143562598,기타
되었음/Verb,2.141325894,
thank/Alpha,2.133544968,
cool/Alpha,2.130122298,
central/Alpha,2.129412627,
훌륭/Noun,2.127638275,가격/청결/위치/교통/부대시설/서비스/객실/조망
짱/VerbPrefix,2.126397875,가격/청결/위치/교통/부대시설/서비스/객실/조망
저렴하게/Adjective,2.125742954,가격
중심/Noun,2.123255468,위치/교통
ㄱ/KoreanParticle,2.119354653,
좋으네요/Adjective,2.11812646,가격/청결/위치/교통/부대시설/서비스/객실/조망
없는게/Adjective,2.1127298,
넘나/Verb,2.111114802,
값어치/Noun,2.110723704,가격
쾌적합니다/Adjective,2.106318236,청결/객실
모션/Noun,2.106247005,
해결/Noun,2.104562403,기타
쾌적했어요/Adjective,2.104128447,청결/객실
쓰라/Verb,2.102093149,
달면서/Verb,2.102093149,
하우스/Noun,2.098600955,
곱니다/Adjective,2.097194061,
않을지/Verb,2.094403367,
해운대역/Noun,2.093242693,위치
필요없음/Adjective,2.089923642,
괜찮았습니다/Adjective,2.089700079,
sehr/Alpha,2.089514043,
another/Alpha,2.089514043,
편안함/Noun,2.088826247,위치/교통/객실
대접/Noun,2.086260052,서비스
right/Alpha,2.083874862,
있더라구요/Adjective,2.082996119,
있는/Adjective,2.080935521,
받을/Verb,2.080147881,
고급스러/Adjective,2.075205679,부대시설/객실
great/Alpha,2.071836391,
이뻐요/Adjective,2.066478386,부대시설/객실/조망
없이는/Adjective,2.066153444,
отличный/Foreign,2.063487996,
컨트롤/Noun,2.055220011,
좋아했어요/Adjective,2.051510196,
감사해요/Verb,2.050977299,
recommend/Alpha,2.049806271,
쾌적함/Adjective,2.047011149,청결/객실
좋았으며/Adjective,2.046284016,가격/청결/위치/교통/부대시설/서비스/객실/조망
превосходно/Foreign,2.044642645,
조용합니다/Adjective,2.043788402,객실
빠지는게/Verb,2.039865479,
아쉽긴/Adjective,2.039221583,가격/청결/위치/교통/부대시설/서비스/객실/조망
좋았구/Adjective,2.037838924,가격/청결/위치/교통/부대시설/서비스/객실/조망
불편한거/Adjective,2.035822309,위치/교통/객실
해주신/Verb,2.034818924,
가능해서/Adjective,2.031950654,
둘째/Modifier,2.029173386,
our/Alpha,2.02916654,
좋았다고/Adjective,2.029050942,가격/청결/위치/교통/부대시설/서비스/객실/조망
이었습니다/Verb,2.023774878,
가보세요/Verb,2.021959052,
즐기다/Verb,2.018834341,기타
ㅎㅎㅎㅎㅎ/KoreanParticle,2.018702028,
생일/Noun,2.016606173,
아주아주/Adverb,2.015964488,
남포동/Noun,2.013826897,위치
종종/Noun,2.01216225,
깨끗하구/Adjective,2.010266294,청결/객실
큐티브/Noun,2.009040989,
취사/Noun,2.005994608,
없었는데/Adjective,2.00456706,
카페/Noun,2.0035137,
왕/Noun,1.998540113,
갓/Modifier,1.997611497,
56만원/Number,1.996570739,
그렇지만/Conjunction,1.993726914,
다녀왔어여/Verb,1.990245346,
할것/Verb,1.989520008,
뷔폐/Noun,1.989209226,부대시설
옵션/Noun,1.986883078,부대시설/객실/조망
비슷해요/Adjective,1.985199907,
감안/Noun,1.983514595,
不錯/Foreign,1.982206737,
강아지/Noun,1.98144618,기타
enjoyable/Alpha,1.975883517,
지하/Noun,1.975654237,부대시설
빠른/Adjective,1.974457156,서비스
깨끗함/Adjective,1.974019147,청결/객실
second/Alpha,1.973428495,
머물고/Verb,1.968618839,
comfy/Alpha,1.965430608,
따뜻한/Adjective,1.964786571,객실
잡니다/Verb,1.964767245,
합니다/Verb,1.964417294,
충실한/Adjective,1.963735272,가격/부대시설/서비스/객실
westin/Alpha,1.963601628,
3일/Number,1.963542198,
깨끗하네요/Adjective,1.962487264,청결/객실
만족했던/Adjective,1.958800651,가격/청결/위치/교통/부대시설/서비스/객실/조망
코로나/Noun,1.957735227,기타
단지/Noun,1.956831543,
알고싶은/Verb,1.956685869,
좋습니다만/Adjective,1.956489693,가격/청결/위치/교통/부대시설/서비스/객실/조망
쉽지/Verb,1.955967643,
끝내주는/Adjective,1.954633806,가격/청결/위치/교통/부대시설/서비스/객실/조망
먹기/Noun,1.954565047,
했습니다/Verb,1.95196138,
좋았고요/Adjective,1.948379672,가격/청결/위치/교통/부대시설/서비스/객실/조망
느껴졌어요/Verb,1.944179707,
좋았어/Adjective,1.94385136,가격/청결/위치/교통/부대시설/서비스/객실/조망
필요하네요/Adjective,1.943672857,가격/청결/위치/교통/부대시설/서비스/객실/조망
exceptionnel/Alpha,1.939917579,
레오/Noun,1.9390023,
실시간/Noun,1.937248626,
도어/Noun,1.936786353,객실
세/Modifier,1.932317281,
환호/Noun,1.929382485,기타
받았어요/Verb,1.928269911,
다/Josa,1.927258082,
부족했음/Adjective,1.925922685,가격/청결/위치/교통/부대시설/서비스/객실/조망
좋어요/Adjective,1.925660946,가격/청결/위치/교통/부대시설/서비스/객실/조망
좋죠/Adjective,1.923395899,가격/청결/위치/교통/부대시설/서비스/객실/조망
ㅎㅎㅎㅎㅎㅎ/KoreanParticle,1.923330963,
있다면/Adjective,1.922591713,
깨끗하나/Adjective,1.920382968,청결/객실
않게/Verb,1.919460288,
엉/Exclamation,1.917427917,
busan/Alpha,1.916482736,
편안해요/Adjective,1.916349944,위치/교통/객실
싶었는데/Verb,1.915278166,
아이/Noun,1.912499854,
앤문/Noun,1.911881791,
작았지만/Adjective,1.910656217,객실
면/Noun,1.907893658,
완벽합니다/Adjective,1.906765852,가격/청결/위치/교통/부대시설/서비스/객실/조망
부분/Noun,1.906622364,
플스/Noun,1.906277595,
댓글/Noun,1.904944854,
신축/Noun,1.90277218,객실
에서만/Josa,1.902358744,
천수/Noun,1.899876999,
affordable/Alpha,1.897241548,
강/Noun,1.895833241,
